PK_CLIENTES;PK_TEMPO;PK_LOCALIDADE;QUANTIDADE;VALOR_TOTAL
60f38c57f6e132cfb5b8fb8031cdb8fb49260040e43cb0345f79df04edaf2d7e;5f2f36d7933465ddd599bda42483fac08d49cecaa9ba7b17c82b6afec0626e79;1afeeb4f561c3d914796782bfa14016ccfce18022cb9faaf7008fcaab8aeaca1;9;581592.0
60f38c57f6e132cfb5b8fb8031cdb8fb49260040e43cb0345f79df04edaf2d7e;7d7f761f04bc0d1b3f4b4178132a76686d35ab2c1e2f65e69c87fd3831ef6367;1afeeb4f561c3d914796782bfa14016ccfce18022cb9faaf7008fcaab8aeaca1;9;581592.0
60f38c57f6e132cfb5b8fb8031cdb8fb49260040e43cb0345f79df04edaf2d7e;cdceedaf9aa816346fb8e7fecdd8f44b2ff626b6279d6df764ad496feee267ea;1afeeb4f561c3d914796782bfa14016ccfce18022cb9faaf7008fcaab8aeaca1;4;573836.0
f89f1c317ae48f83cfd44c5207da70079ac3845f2521262ebb3ab21fa5c528ce;e0a24b5b7fe4af2ee62682f575976914310cc288ee5aaea0a20fe836f6ba2a9a;4042a73c116c9746ff23df90e66ab19b4723d773dd571d0b78af67522b676064;1;539200.0
f89f1c317ae48f83cfd44c5207da70079ac3845f2521262ebb3ab21fa5c528ce;1b578fd9b60ec6cbbcec72d59c9ccf34cf89f0b273c9f4c6807c968e41ea3bd7;4042a73c116c9746ff23df90e66ab19b4723d773dd571d0b78af67522b676064;1;539200.0
f89f1c317ae48f83cfd44c5207da70079ac3845f2521262ebb3ab21fa5c528ce;2bb75f6d3548206606ebbfca2377ee52fc709a6d035732901c63ac17f2978e5b;4042a73c116c9746ff23df90e66ab19b4723d773dd571d0b78af67522b676064;1;539200.0
f89f1c317ae48f83cfd44c5207da70079ac3845f2521262ebb3ab21fa5c528ce;fd854154b05a536e770fc0c9dda68d29becf34e62f0aade3add0738fca178c8b;4042a73c116c9746ff23df90e66ab19b4723d773dd571d0b78af67522b676064;1;539200.0
f89f1c317ae48f83cfd44c5207da70079ac3845f2521262ebb3ab21fa5c528ce;b857cec06e30daa54629556e72fbad8c1eda3e6535b7b0e51ad620c705dc000f;4042a73c116c9746ff23df90e66ab19b4723d773dd571d0b78af67522b676064;1;539200.0
f89f1c317ae48f83cfd44c5207da70079ac3845f2521262ebb3ab21fa5c528ce;204fae7e937b4b550ec3f2a78a74539f7087cfc1ee6c30ac5fde63d71a4b3165;4042a73c116c9746ff23df90e66ab19b4723d773dd571d0b78af67522b676064;1;458320.0
f89f1c317ae48f83cfd44c5207da70079ac3845f2521262ebb3ab21fa5c528ce;482561a189cc96a89908e67db0633a89634756d75cb0c6a19fa0d07e8268fa11;4042a73c116c9746ff23df90e66ab19b4723d773dd571d0b78af67522b676064;1;458320.0
